R,G,B,EX,LI,BF3,RF3,GF2
255,86.72,16.06,20000,R100,0.016666667,0.466666667,0.083333333
255,64.99,12.45,20000,R100,0.166666667,0.266666667,0.1
255,199.01,37.28,20000,R100,0.05,0.2,0.033333333
189.35,29.28,5.55,20000,R100,0.033333333,0.333333333,0.15
135.42,20.88,3.85,20000,R100,0.1,0.533333333,0.166666667
255,149.74,27.82,20000,R100,0.15,0.6,0.05
255,47.48,8.6,20000,R100,0.066666667,0.666666667,0.116666667
255,119.12,21.54,20000,R100,0.1,0.066666667,0.066666667
255,67.43,12.39,20000,R100,0.016666667,0.266666667,0.1
224.12,34.93,6.7,20000,R100,0.083333333,0.666666667,0.133333333
255,151.84,27.68,20000,R100,0.033333333,0.533333333,0.05
255,254.47,48.75,20000,R100,0.066666667,0.4,0.016666667
255,200.9,36.76,20000,R100,0.133333333,0.2,0.033333333
134.92,20.63,3.86,20000,R100,0.116666667,0.466666667,0.166666667
186.39,29.15,5.34,20000,R100,0.05,0.133333333,0.15
255,48.98,9,20000,R100,0.166666667,0.333333333,0.116666667
255,83.74,16.14,20000,R100,0.15,0.6,0.083333333
216.48,33.91,6.03,20000,R100,0.033333333,0.2,0.133333333
137.99,21.22,3.8,20000,R100,0.083333333,0.466666667,0.166666667
255,110.83,20.27,20000,R100,0.016666667,0.4,0.066666667
255,70.71,13.23,20000,R100,0.066666667,0.066666667,0.1
180.9,28.08,5.22,20000,R100,0.15,0.333333333,0.15
255,150.73,28.08,20000,R100,0.133333333,0.133333333,0.05
255,85.89,15.86,20000,R100,0.166666667,0.533333333,0.083333333
255,254.13,48.94,20000,R100,0.1,0.266666667,0.016666667
255,48.13,8.89,20000,R100,0.116666667,0.666666667,0.116666667
255,198.13,37.41,20000,R100,0.05,0.6,0.033333333
255,255,53.73,20000,R100,0.0143,0.05,0.0123
255,234.04,44.06,20000,R100,0.0286,0.1,0.0246
255,192.69,35.92,20000,R100,0.0429,0.15,0.0369
255,159.45,29.5,20000,R100,0.0572,0.2,0.0492
255,133.4,24.9,20000,R100,0.0715,0.25,0.0615
255,108.49,19.97,20000,R100,0.0858,0.3,0.0738
255,81.78,15.41,20000,R100,0.1001,0.35,0.0861
255,68.92,12.94,20000,R100,0.1144,0.4,0.0984
255,57.69,10.67,20000,R100,0.1287,0.45,0.1107
255,46.25,8.55,20000,R100,0.143,0.5,0.123
255,105.02,21.63,40000,R100,0.166666667,0.266666667,0.116666667
255,126.21,25.31,40000,R100,0.016666667,0.466666667,0.1
255,198.52,41.03,40000,R100,0.1,0.666666667,0.066666667
255,65.56,13.36,40000,R100,0.05,0.6,0.133333333
255,159.95,32.87,40000,R100,0.116666667,0.066666667,0.083333333
255,255,57.25,40000,R100,0.033333333,0.2,0.05
255,255,100.76,40000,R100,0.066666667,0.333333333,0.016666667
255,56.64,11.78,40000,R100,0.083333333,0.133333333,0.15
255,47.2,9.33,40000,R100,0.133333333,0.4,0.166666667
255,255,75.41,40000,R100,0.15,0.533333333,0.033333333
255,111.35,21.77,40000,R100,0.016666667,0.333333333,0.116666667
255,168.89,33.1,40000,R100,0.033333333,0.6,0.083333333
255,68.31,13.79,40000,R100,0.1,0.666666667,0.133333333
255,215.53,42.5,40000,R100,0.166666667,0.4,0.066666667
255,255,57.14,40000,R100,0.05,0.133333333,0.05
255,255,71.52,40000,R100,0.133333333,0.533333333,0.033333333
255,43.62,8.73,40000,R100,0.066666667,0.466666667,0.166666667
255,255,97.2,40000,R100,0.083333333,0.266666667,0.016666667
255,166.41,32.62,40000,R100,0.116666667,0.066666667,0.1
255,59.09,11.85,40000,R100,0.15,0.2,0.15
255,105.21,21,40000,R100,0.1,0.066666667,0.116666667
255,79.14,15.82,40000,R100,0.016666667,0.4,0.133333333
255,42.06,8.08,40000,R100,0.066666667,0.266666667,0.166666667
255,179.49,36.14,40000,R100,0.033333333,0.133333333,0.083333333
255,54.89,10.9,40000,R100,0.133333333,0.6,0.15
255,220.03,43.62,40000,R100,0.083333333,0.666666667,0.066666667
255,255,75.28,40000,R100,0.05,0.533333333,0.033333333
255,255,99.52,40000,R100,0.116666667,0.333333333,0.016666667
255,127.71,24.91,40000,R100,0.166666667,0.466666667,0.1
255,255,58.94,40000,R100,0.15,0.2,0.05
255,231.43,46.01,40000,R100,0.083333333,0.066666667,0.066666667
255,80.68,16.24,40000,R100,0.133333333,0.133333333,0.133333333
255,255,97.87,40000,R100,0.116666667,0.4,0.016666667
255,170.32,32.64,40000,R100,0.016666667,0.466666667,0.083333333
255,128.8,24.87,40000,R100,0.166666667,0.266666667,0.1
255,255,76.5,40000,R100,0.05,0.2,0.033333333
255,58.61,11.47,40000,R100,0.033333333,0.333333333,0.15
255,42.05,8.08,40000,R100,0.1,0.533333333,0.166666667
255,255,55.37,40000,R100,0.15,0.6,0.05
255,94.3,17.86,40000,R100,0.066666667,0.666666667,0.116666667
255,231.35,44.07,40000,R100,0.1,0.066666667,0.066666667
255,132.71,24.9,40000,R100,0.016666667,0.266666667,0.1
255,70.4,13.59,40000,R100,0.083333333,0.666666667,0.133333333
255,255,55.59,40000,R100,0.033333333,0.533333333,0.05
255,255,99.18,40000,R100,0.066666667,0.4,0.016666667
255,255,74.89,40000,R100,0.133333333,0.2,0.033333333
254.95,41.19,8.01,40000,R100,0.116666667,0.466666667,0.166666667
255,57.7,11.6,40000,R100,0.05,0.133333333,0.15
255,97.32,18.25,40000,R100,0.166666667,0.333333333,0.116666667
255,165,31.52,40000,R100,0.15,0.6,0.083333333
255,67.71,12.85,40000,R100,0.033333333,0.2,0.133333333
255,42.34,8.51,40000,R100,0.083333333,0.466666667,0.166666667
255,215.87,41.35,40000,R100,0.016666667,0.4,0.066666667
255,139.32,26.35,40000,R100,0.066666667,0.066666667,0.1
255,55.5,10.74,40000,R100,0.15,0.333333333,0.15
255,255,56.95,40000,R100,0.133333333,0.133333333,0.05
255,167.34,32.25,40000,R100,0.166666667,0.533333333,0.083333333
255,255,98.74,40000,R100,0.1,0.266666667,0.016666667
255,95.79,18.03,40000,R100,0.116666667,0.666666667,0.116666667
255,255,74.62,40000,R100,0.05,0.6,0.033333333
255,255,109.52,40000,R100,0.0143,0.05,0.0123
255,255,88.94,40000,R100,0.0286,0.1,0.0246
255,255,73.37,40000,R100,0.0429,0.15,0.0369
255,255,59.54,40000,R100,0.0572,0.2,0.0492
255,253.11,49.31,40000,R100,0.0715,0.25,0.0615
255,209.79,41.06,40000,R100,0.0858,0.3,0.0738
255,160.74,30.65,40000,R100,0.1001,0.35,0.0861
255,136.37,25.91,40000,R100,0.1144,0.4,0.0984
255,113.64,21.7,40000,R100,0.1287,0.45,0.1107
255,91.66,17.68,40000,R100,0.143,0.5,0.123
255,204.06,43.76,80000,R100,0.166666667,0.266666667,0.116666667
255,241.17,52.18,80000,R100,0.016666667,0.466666667,0.1
255,255,81.75,80000,R100,0.1,0.666666667,0.066666667
255,129.57,27.58,80000,R100,0.05,0.6,0.133333333
255,255,66.29,80000,R100,0.116666667,0.066666667,0.083333333
255,255,115.62,80000,R100,0.033333333,0.2,0.05
255,255,199.15,80000,R100,0.066666667,0.333333333,0.016666667
255,112.15,24,80000,R100,0.083333333,0.133333333,0.15
255,93.61,19.97,80000,R100,0.133333333,0.4,0.166666667
255,255,151.01,80000,R100,0.15,0.533333333,0.033333333
255,216.45,43.73,80000,R100,0.016666667,0.333333333,0.116666667
255,255,66.34,80000,R100,0.033333333,0.6,0.083333333
255,135.57,26.85,80000,R100,0.1,0.666666667,0.133333333
255,255,85.04,80000,R100,0.166666667,0.4,0.066666667
255,255,117.16,80000,R100,0.05,0.133333333,0.05
255,255,142.02,80000,R100,0.133333333,0.533333333,0.033333333
255,86.5,17.54,80000,R100,0.066666667,0.466666667,0.166666667
255,255,194.23,80000,R100,0.083333333,0.266666667,0.016666667
255,255,65.51,80000,R100,0.116666667,0.066666667,0.1
255,116.84,23.78,80000,R100,0.15,0.2,0.15
255,205.08,41.91,80000,R100,0.1,0.066666667,0.116666667
255,155.03,31.15,80000,R100,0.016666667,0.4,0.133333333
255,83.31,16.63,80000,R100,0.066666667,0.266666667,0.166666667
255,255,73.04,80000,R100,0.033333333,0.133333333,0.083333333
255,109.54,22.12,80000,R100,0.133333333,0.6,0.15
255,255,88.75,80000,R100,0.083333333,0.666666667,0.066666667
255,255,151,80000,R100,0.05,0.533333333,0.033333333
255,255,197.7,80000,R100,0.116666667,0.333333333,0.016666667
255,245.79,50.38,80000,R100,0.166666667,0.466666667,0.1
255,255,119.22,80000,R100,0.15,0.2,0.05
255,255,91.72,80000,R100,0.083333333,0.066666667,0.066666667
255,157.86,32.3,80000,R100,0.133333333,0.133333333,0.133333333
255,255,194.13,80000,R100,0.116666667,0.4,0.016666667
255,255,66.15,80000,R100,0.016666667,0.466666667,0.083333333
255,247.04,49.97,80000,R100,0.166666667,0.266666667,0.1
255,255,152.14,80000,R100,0.05,0.2,0.033333333
255,115.84,22.86,80000,R100,0.033333333,0.333333333,0.15
255,83.29,16.49,80000,R100,0.1,0.533333333,0.166666667
255,255,113.35,80000,R100,0.15,0.6,0.05
255,185.28,35.69,80000,R100,0.066666667,0.666666667,0.116666667
255,255,90.36,80000,R100,0.1,0.066666667,0.066666667
255,252.89,50.07,80000,R100,0.016666667,0.266666667,0.1
255,139.27,26.99,80000,R100,0.083333333,0.666666667,0.133333333
255,255,111.02,80000,R100,0.033333333,0.533333333,0.05
255,255,197.26,80000,R100,0.066666667,0.4,0.016666667
255,255,152.03,80000,R100,0.133333333,0.2,0.033333333
255,82.05,16.56,80000,R100,0.116666667,0.466666667,0.166666667
255,113.83,23.17,80000,R100,0.05,0.133333333,0.15
255,189.25,37.27,80000,R100,0.166666667,0.333333333,0.116666667
255,255,63.54,80000,R100,0.15,0.6,0.083333333
255,133.02,25.96,80000,R100,0.033333333,0.2,0.133333333
255,83.78,16.54,80000,R100,0.083333333,0.466666667,0.166666667
255,255,83.46,80000,R100,0.016666667,0.4,0.066666667
255,254.89,53.26,80000,R100,0.066666667,0.066666667,0.1
255,110.21,21.99,80000,R100,0.15,0.333333333,0.15
255,255,115.67,80000,R100,0.133333333,0.133333333,0.05
255,255,65.23,80000,R100,0.166666667,0.533333333,0.083333333
255,255,197.39,80000,R100,0.1,0.266666667,0.016666667
255,187.17,37.02,80000,R100,0.116666667,0.666666667,0.116666667
255,255,151.61,80000,R100,0.05,0.6,0.033333333
255,255,216.7,80000,R100,0.0143,0.05,0.0123
255,255,179.74,80000,R100,0.0286,0.1,0.0246
255,255,147.07,80000,R100,0.0429,0.15,0.0369
255,255,122.64,80000,R100,0.0572,0.2,0.0492
255,255,100.95,80000,R100,0.0715,0.25,0.0615
255,255,81.53,80000,R100,0.0858,0.3,0.0738
255,255,61.25,80000,R100,0.1001,0.35,0.0861
255,254.54,52.67,80000,R100,0.1144,0.4,0.0984
255,219.7,44.64,80000,R100,0.1287,0.45,0.1107
255,179.99,35.78,80000,R100,0.143,0.5,0.123
255,255,65.99,120000,R100,0.166666667,0.266666667,0.116666667
255,255,78.43,120000,R100,0.016666667,0.466666667,0.1
255,255,123.43,120000,R100,0.1,0.666666667,0.066666667
255,190.1,40.82,120000,R100,0.05,0.6,0.133333333
255,255,100.28,120000,R100,0.116666667,0.066666667,0.083333333
255,255,174.82,120000,R100,0.033333333,0.2,0.05
255,255,255,120000,R100,0.066666667,0.333333333,0.016666667
255,165.16,36.48,120000,R100,0.083333333,0.133333333,0.15
255,138.97,29.65,120000,R100,0.133333333,0.4,0.166666667
255,255,224.93,120000,R100,0.15,0.533333333,0.033333333
255,255,66.89,120000,R100,0.016666667,0.333333333,0.116666667
255,255,101.14,120000,R100,0.033333333,0.6,0.083333333
255,199.55,40.84,120000,R100,0.1,0.666666667,0.133333333
255,255,128.78,120000,R100,0.166666667,0.4,0.066666667
255,255,175.52,120000,R100,0.05,0.133333333,0.05
255,255,213.71,120000,R100,0.133333333,0.533333333,0.033333333
255,128.36,26.23,120000,R100,0.066666667,0.466666667,0.166666667
255,255,255,120000,R100,0.083333333,0.266666667,0.016666667
255,255,98.89,120000,R100,0.116666667,0.066666667,0.1
255,172.73,36.21,120000,R100,0.15,0.2,0.15
255,255,64.14,120000,R100,0.1,0.066666667,0.116666667
255,226.71,47.21,120000,R100,0.016666667,0.4,0.133333333
255,123.44,25.72,120000,R100,0.066666667,0.266666667,0.166666667
255,255,109.68,120000,R100,0.033333333,0.133333333,0.083333333
255,162.4,33.47,120000,R100,0.133333333,0.6,0.15
255,255,132.13,120000,R100,0.083333333,0.666666667,0.066666667
255,255,223.95,120000,R100,0.05,0.533333333,0.033333333
255,255,255,120000,R100,0.116666667,0.333333333,0.016666667
255,255,76.17,120000,R100,0.166666667,0.466666667,0.1
255,255,178.3,120000,R100,0.15,0.2,0.05
255,255,138.12,120000,R100,0.083333333,0.066666667,0.066666667
255,231.29,48.42,120000,R100,0.133333333,0.133333333,0.133333333
255,255,255,120000,R100,0.116666667,0.4,0.016666667
255,255,100.85,120000,R100,0.016666667,0.466666667,0.083333333
255,255,75.67,120000,R100,0.166666667,0.266666667,0.1
255,255,227.79,120000,R100,0.05,0.2,0.033333333
255,170.81,34.55,120000,R100,0.033333333,0.333333333,0.15
255,124.16,24.97,120000,R100,0.1,0.533333333,0.166666667
255,255,168.77,120000,R100,0.15,0.6,0.05
255,255,53.13,120000,R100,0.066666667,0.666666667,0.116666667
255,255,136.11,120000,R100,0.1,0.066666667,0.066666667
255,255,75.81,120000,R100,0.016666667,0.266666667,0.1
255,205.16,41.44,120000,R100,0.083333333,0.666666667,0.133333333
255,255,167.18,120000,R100,0.033333333,0.533333333,0.05
255,255,255,120000,R100,0.066666667,0.4,0.016666667
255,255,226.09,120000,R100,0.133333333,0.2,0.033333333
255,122.91,24.86,120000,R100,0.116666667,0.466666667,0.166666667
255,168.98,34.61,120000,R100,0.05,0.133333333,0.15
255,255,55.95,120000,R100,0.166666667,0.333333333,0.116666667
255,255,97.49,120000,R100,0.15,0.6,0.083333333
255,196.62,38.53,120000,R100,0.033333333,0.2,0.133333333
255,124.67,24.84,120000,R100,0.083333333,0.466666667,0.166666667
255,255,125.3,120000,R100,0.016666667,0.4,0.066666667
255,255,81.64,120000,R100,0.066666667,0.066666667,0.1
255,163.25,32.8,120000,R100,0.15,0.333333333,0.15
255,255,172.13,120000,R100,0.133333333,0.133333333,0.05
255,255,98.52,120000,R100,0.166666667,0.533333333,0.083333333
255,255,255,120000,R100,0.1,0.266666667,0.016666667
255,255,54.95,120000,R100,0.116666667,0.666666667,0.116666667
255,255,225.02,120000,R100,0.05,0.6,0.033333333
255,255,255,120000,R100,0.0143,0.05,0.0123
255,255,254.94,120000,R100,0.0286,0.1,0.0246
255,255,219.23,120000,R100,0.0429,0.15,0.0369
255,255,182.5,120000,R100,0.0572,0.2,0.0492
255,255,152.01,120000,R100,0.0715,0.25,0.0615
255,255,124.52,120000,R100,0.0858,0.3,0.0738
255,255,93.79,120000,R100,0.1001,0.35,0.0861
255,255,80.27,120000,R100,0.1144,0.4,0.0984
255,255,66.27,120000,R100,0.1287,0.45,0.1107
255,254.62,53.63,120000,R100,0.143,0.5,0.123
255,255,109.35,200000,R100,0.166666667,0.266666667,0.116666667
255,255,130.46,200000,R100,0.016666667,0.466666667,0.1
255,255,202.97,200000,R100,0.1,0.666666667,0.066666667
255,255,68.38,200000,R100,0.05,0.6,0.133333333
255,255,164.65,200000,R100,0.116666667,0.066666667,0.083333333
255,255,255,200000,R100,0.033333333,0.2,0.05
255,255,255,200000,R100,0.066666667,0.333333333,0.016666667
255,252.73,60.62,200000,R100,0.083333333,0.133333333,0.15
255,223.94,50.62,200000,R100,0.133333333,0.4,0.166666667
255,255,255,200000,R100,0.15,0.533333333,0.033333333
255,255,111.93,200000,R100,0.016666667,0.333333333,0.116666667
255,255,166.22,200000,R100,0.033333333,0.6,0.083333333
255,255,69.46,200000,R100,0.1,0.666666667,0.133333333
255,255,213.61,200000,R100,0.166666667,0.4,0.066666667
255,255,255,200000,R100,0.05,0.133333333,0.05
255,255,255,200000,R100,0.133333333,0.533333333,0.033333333
255,209.43,44.97,200000,R100,0.066666667,0.466666667,0.166666667
255,255,255,200000,R100,0.083333333,0.266666667,0.016666667
255,255,165.05,200000,R100,0.116666667,0.066666667,0.1
255,255,59.83,200000,R100,0.15,0.2,0.15
255,255,106.39,200000,R100,0.1,0.066666667,0.116666667
255,255,79.86,200000,R100,0.016666667,0.4,0.133333333
255,198.11,42.17,200000,R100,0.066666667,0.266666667,0.166666667
255,255,182.01,200000,R100,0.033333333,0.133333333,0.083333333
255,254.06,56.86,200000,R100,0.133333333,0.6,0.15
255,255,218.62,200000,R100,0.083333333,0.666666667,0.066666667
255,255,255,200000,R100,0.05,0.533333333,0.033333333
255,255,255,200000,R100,0.116666667,0.333333333,0.016666667
255,255,128.06,200000,R100,0.166666667,0.466666667,0.1
255,255,255,200000,R100,0.15,0.2,0.05
255,255,227.98,200000,R100,0.083333333,0.066666667,0.066666667
255,255,81.31,200000,R100,0.133333333,0.133333333,0.133333333
255,255,255,200000,R100,0.116666667,0.4,0.016666667
255,255,167.6,200000,R100,0.016666667,0.466666667,0.083333333
255,255,124.11,200000,R100,0.166666667,0.266666667,0.1
255,255,255,200000,R100,0.05,0.2,0.033333333
255,255,57.07,200000,R100,0.033333333,0.333333333,0.15
255,202.39,41.63,200000,R100,0.1,0.533333333,0.166666667
255,255,255,200000,R100,0.15,0.6,0.05
255,255,90.75,200000,R100,0.066666667,0.666666667,0.116666667
255,255,223.34,200000,R100,0.1,0.066666667,0.066666667
255,255,124.67,200000,R100,0.016666667,0.266666667,0.1
255,255,69.47,200000,R100,0.083333333,0.666666667,0.133333333
255,255,255,200000,R100,0.033333333,0.533333333,0.05
255,255,255,200000,R100,0.066666667,0.4,0.016666667
255,255,255,200000,R100,0.133333333,0.2,0.033333333
255,200.63,41.81,200000,R100,0.116666667,0.466666667,0.166666667
255,255,57.2,200000,R100,0.05,0.133333333,0.15
255,255,92.15,200000,R100,0.166666667,0.333333333,0.116666667
255,255,159.92,200000,R100,0.15,0.6,0.083333333
255,255,64.5,200000,R100,0.033333333,0.2,0.133333333
255,203.59,41.55,200000,R100,0.083333333,0.466666667,0.166666667
255,255,205.97,200000,R100,0.016666667,0.4,0.066666667
255,255,137.02,200000,R100,0.066666667,0.066666667,0.1
255,253.82,53.06,200000,R100,0.15,0.333333333,0.15
255,255,255,200000,R100,0.133333333,0.133333333,0.05
255,255,164.43,200000,R100,0.166666667,0.533333333,0.083333333
255,255,255,200000,R100,0.1,0.266666667,0.016666667
255,255,93.53,200000,R100,0.116666667,0.666666667,0.116666667
255,255,255,200000,R100,0.05,0.6,0.033333333
255,255,255,200000,R100,0.0143,0.05,0.0123
255,255,255,200000,R100,0.0286,0.1,0.0246
255,255,255,200000,R100,0.0429,0.15,0.0369
255,255,255,200000,R100,0.0572,0.2,0.0492
255,255,248.84,200000,R100,0.0715,0.25,0.0615
255,255,205.35,200000,R100,0.0858,0.3,0.0738
255,255,156.8,200000,R100,0.1001,0.35,0.0861
255,255,134.13,200000,R100,0.1144,0.4,0.0984
255,255,110.57,200000,R100,0.1287,0.45,0.1107
255,255,90.84,200000,R100,0.143,0.5,0.123
